sample_stage,survey_year,sample_n
all_18_24,2021,5916
all_18_24,2022,7351
all_18_24,2023,7839
all_18_24,2024,7839
all_18_24,2025,7773
linked_18_24,2021,3627
linked_18_24,2022,0
linked_18_24,2023,0
linked_18_24,2024,0
linked_18_24,2025,4597
linked_18_24_low_parent,2021,3627
linked_18_24_low_parent,2022,0
linked_18_24_low_parent,2023,0
linked_18_24_low_parent,2024,0
linked_18_24_low_parent,2025,4597
linked_18_24_no_migration_signal,2021,0
linked_18_24_no_migration_signal,2022,0
linked_18_24_no_migration_signal,2023,0
linked_18_24_no_migration_signal,2024,0
linked_18_24_no_migration_signal,2025,4114
